nomem_encr,cv08a043,cv09b043,cv08a030,cv09b030,income,government,eco,gov,cv09b038,cv08a038,cv09b039,cv08a039,cv09b040,cv08a040,cv09b041,cv08a041,cv09b042,cv08a042,cv09b044,cv08a044,cv09b045,cv08a045,cv09b046,cv08a046
849722,7,6,6,6,5,0,-1,0,7,6,7,7,7,7,8,7,7,7,6,7,7,7,6,7
849771,7,7,4,7,4,0,0,3,2,3,8,7,7,7,7,8,8,7,6,5,7,8,7,7
849774,8,6,6,6,1,1,-2,0,4,4,5,7,4,7,4,5,4,8,7,7,7,6,6,6
849786,7,4,7,6,NA,1,-3,-1,3,6,6,NA,5,6,7,6,6,7,5,7,8,7,3,NA
849795,6,6,6,6,1,1,0,0,7,8,7,8,5,7,7,8,8,9,7,9,7,8,6,7
849856,7,4,6,6,NA,0,-3,0,5,6,7,7,7,7,6,6,7,7,7,5,7,7,7,7
849896,6,5,6,7,1,0,-1,1,6,6,7,7,5,6,6,6,6,6,6,6,6,6,6,6
849899,7,4,6,6,1,0,-3,0,7,7,6,8,7,8,7,7,8,7,5,7,8,7,7,7
849920,6,5,6,7,1,0,-1,1,7,5,7,7,7,7,7,6,8,8,6,6,9,7,8,7
849929,6,5,4,5,NA,0,-1,1,5,6,6,3,6,4,7,7,6,6,6,7,5,6,5,6
849996,8,8,7,8,4,1,0,1,6,2,7,5,8,6,8,7,9,8,8,9,9,8,NA,4
850000,6,2,1,1,NA,0,-4,0,2,3,1,1,4,2,8,8,9,8,5,6,7,8,5,0
850012,5,5,5,5,NA,0,0,0,5,7,7,8,7,8,7,4,7,6,5,5,8,8,6,6
850067,2,4,2,3,1,0,2,1,1,2,4,2,4,2,4,2,4,5,4,2,6,7,6,6
850100,6,7,5,6,NA,0,1,1,5,5,9,8,7,6,8,8,7,8,7,7,8,9,6,7
850103,7,7,7,7,NA,1,0,0,6,6,7,7,8,8,8,8,8,7,7,7,8,8,7,7
850106,5,4,5,6,1,NA,-1,1,6,2,5,5,6,5,5,5,6,5,5,5,5,5,3,NA
850109,8,7,8,8,3,0,-1,0,1,0,8,8,7,7,8,8,8,8,6,6,7,7,7,7
850115,8,7,7,5,NA,0,-1,-2,6,6,6,8,7,8,6,8,6,8,6,7,8,8,NA,6
850137,1,0,0,0,NA,0,-1,0,0,2,7,5,0,4,0,1,0,1,0,1,0,1,0,1
850198,7,6,5,7,6,0,-1,2,7,7,6,7,7,8,6,8,7,8,7,7,7,7,5,7
850210,7,6,5,5,3,0,-1,0,4,6,6,8,6,NA,6,7,5,7,5,NA,5,7,5,NA
850250,6,4,2,4,NA,0,-2,2,4,2,4,5,4,5,5,5,4,5,4,5,6,5,5,5
850296,5,2,5,3,1,0,-3,-2,NA,5,2,5,2,5,2,5,3,5,2,5,2,5,2,5
850305,6,3,5,6,NA,NA,-3,1,NA,3,NA,5,NA,6,4,6,NA,6,8,7,NA,6,NA,5
850311,6,6,6,7,NA,1,0,1,6,6,5,4,7,6,7,5,7,6,6,6,6,6,6,6
850332,7,7,6,7,NA,1,0,1,6,3,6,6,7,6,7,6,8,7,7,6,7,7,5,3
850338,6,5,6,6,2,1,-1,0,5,6,5,6,6,6,5,6,5,6,5,6,5,6,5,5
850341,7,5,7,8,NA,1,-2,1,5,6,7,8,6,8,7,7,7,8,8,7,6,6,4,4
850344,6,8,7,7,NA,0,2,0,5,7,8,7,8,6,9,6,7,7,7,6,8,7,8,7
850390,7,5,2,4,1,0,-2,2,4,5,9,8,8,8,5,7,5,8,5,4,9,8,0,5
850418,5,4,5,2,NA,0,-1,-3,2,1,6,7,6,6,9,5,4,6,4,6,7,5,5,6
850451,7,6,6,6,NA,1,-1,0,3,4,5,6,6,7,7,7,6,7,5,6,7,7,5,5
850515,6,5,4,5,1,0,-1,1,5,4,5,5,7,5,7,6,7,7,5,6,8,7,5,7
850576,6,4,6,8,1,NA,-2,2,5,6,6,7,5,6,5,7,7,8,7,6,8,8,2,5
850582,3,2,2,5,1,NA,-1,3,NA,2,NA,4,7,1,6,1,5,3,NA,3,5,6,NA,3
850588,8,8,7,8,NA,NA,0,1,7,6,8,8,8,8,9,8,8,8,8,8,8,8,7,8
850656,6,5,6,6,NA,1,-1,0,4,3,6,7,6,7,6,6,7,7,7,7,5,5,4,5
850665,4,7,2,7,4,0,3,5,5,0,8,6,8,7,7,6,8,5,7,3,7,4,7,4
850689,4,3,3,4,NA,NA,-1,1,3,2,3,2,3,4,3,4,3,3,3,3,4,3,4,4
850698,4,6,4,6,1,NA,2,2,6,3,6,5,6,5,6,6,7,6,6,4,7,5,4,4
850717,5,5,3,5,NA,0,0,2,0,4,5,3,1,2,2,5,5,5,7,8,9,8,5,NA
850726,6,5,6,4,NA,0,-1,-2,4,6,6,6,5,6,5,6,6,6,5,6,6,6,6,6
850732,6,2,8,5,NA,0,-4,-3,6,7,5,7,7,7,7,7,5,8,4,5,7,8,3,4
850738,6,3,7,8,3,1,-3,1,2,2,8,8,8,7,5,7,6,7,5,5,6,4,4,2
850741,7,6,5,6,2,NA,-1,1,6,6,7,7,7,5,5,6,6,NA,7,6,7,6,7,6
850753,8,7,5,7,3,NA,-1,2,4,4,8,5,9,6,9,6,9,9,8,8,8,7,8,0
850772,7,5,5,5,1,1,-2,0,2,6,5,7,3,5,1,5,5,6,5,7,5,7,2,NA
850796,4,5,4,6,1,NA,1,2,6,4,7,7,6,6,7,6,7,6,7,6,7,7,7,6
850808,7,7,7,7,1,NA,0,0,5,7,7,6,7,6,7,7,7,7,7,8,7,8,7,7
850833,6,5,6,5,NA,0,-1,-1,5,7,5,8,5,6,5,7,5,7,5,6,5,7,5,6
850839,5,5,3,6,1,0,0,3,7,6,5,7,5,6,6,6,5,7,5,6,6,6,6,6
850842,7,5,6,6,1,1,-2,0,6,6,6,7,5,8,6,8,6,7,6,7,7,8,6,5
850845,7,6,8,6,4,1,-1,-2,6,8,6,7,6,8,6,8,6,8,6,7,7,8,6,7
850888,6,4,3,3,3,0,-2,0,7,5,9,8,5,5,7,7,7,7,6,4,9,9,8,8
850915,4,7,4,5,1,0,3,1,7,4,8,7,8,7,8,4,8,8,6,4,8,7,8,4
850927,7,7,5,6,NA,1,0,1,4,4,7,6,7,6,8,7,8,7,6,7,7,7,5,2
850939,5,5,5,5,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
850942,7,2,5,4,5,0,-5,-1,4,5,10,7,7,4,8,5,6,8,0,3,7,6,7,6
850988,6,5,6,6,NA,NA,-1,0,4,5,7,5,8,7,8,7,6,7,7,8,6,7,4,4
851098,8,6,7,8,1,1,-2,1,5,6,8,7,5,7,6,8,NA,7,5,7,7,7,4,3
851104,7,4,5,3,5,1,-3,-2,5,6,4,7,3,6,3,7,5,7,3,6,3,7,3,7
851107,7,8,7,8,1,1,1,1,7,7,7,6,7,6,8,8,8,8,8,8,7,8,7,6
851129,6,5,5,7,NA,0,-1,2,5,6,7,7,7,7,5,6,6,NA,7,6,7,7,6,NA
851159,5,4,4,5,1,0,-1,1,7,5,8,5,7,5,7,5,5,5,5,5,6,6,5,4
851190,7,7,3,6,NA,0,0,3,8,6,7,5,8,8,8,8,7,6,8,6,8,7,7,4
851193,6,4,4,5,1,1,-2,1,1,3,3,3,4,4,4,4,4,6,3,5,4,6,3,4
851239,4,5,7,5,1,NA,1,-2,4,8,10,7,10,9,7,8,7,7,5,5,9,9,6,8
851290,7,5,7,5,NA,0,-2,-2,5,7,5,8,6,NA,5,8,5,NA,5,7,5,8,NA,NA
851293,6,4,5,4,1,1,-2,-1,2,5,7,7,4,6,4,6,6,7,4,6,7,7,4,NA
851351,6,6,7,6,1,0,0,-1,5,6,6,7,6,7,6,6,6,6,6,7,6,6,6,6
851354,6,9,1,1,7,0,3,0,1,0,6,9,6,6,2,1,1,1,7,8,7,7,10,7
851358,8,6,6,6,1,0,-2,0,6,6,6,7,6,8,6,8,6,8,6,6,6,6,6,6
851379,8,6,3,4,1,NA,-2,1,5,7,8,7,7,6,7,7,8,8,6,7,7,8,6,7
851388,7,6,6,6,NA,NA,-1,0,7,7,7,7,7,7,7,7,7,7,6,7,8,7,8,7
851397,6,7,5,7,1,NA,1,2,7,5,3,3,6,5,7,6,7,6,7,6,8,7,7,6
851400,7,6,5,8,NA,NA,-1,3,7,7,7,5,6,5,7,7,8,7,9,9,7,7,6,7
851403,6,5,5,5,1,NA,-1,0,5,5,6,6,4,5,5,5,5,6,6,7,6,7,6,5
851425,7,5,7,6,5,NA,-2,-1,5,6,7,6,5,7,7,8,7,7,7,8,7,8,8,7
851431,7,4,3,6,NA,0,-3,3,7,7,8,7,6,7,7,8,8,8,7,8,8,8,8,7
851525,7,7,6,8,1,1,0,2,5,5,8,7,7,7,7,7,7,7,9,6,8,7,7,7
851550,7,6,0,0,4,0,-1,0,8,7,4,6,5,6,6,7,7,7,5,6,7,7,6,7
851553,5,6,6,4,5,0,1,-2,6,3,7,7,6,4,4,2,7,6,4,3,6,5,5,NA
851559,5,4,7,6,NA,0,-1,-1,4,3,5,6,6,6,5,6,6,7,6,7,5,5,1,2
851568,5,3,6,7,NA,1,-2,1,2,4,5,6,5,6,5,8,7,9,3,6,7,5,5,6
851586,7,6,7,6,4,1,-1,-1,4,7,6,7,6,6,5,6,6,8,6,7,6,8,5,7
851611,8,7,7,7,NA,1,-1,0,6,5,8,8,8,9,8,9,8,8,8,7,7,7,7,7
851620,6,6,5,5,4,0,0,0,5,5,7,6,7,7,7,6,6,7,5,6,8,7,NA,5
851626,8,9,7,7,NA,1,1,0,7,8,7,7,7,6,NA,6,6,7,7,8,9,8,8,8
851647,8,8,8,8,7,1,0,0,4,6,8,8,5,7,6,7,8,9,7,7,5,7,5,6
851675,6,6,4,4,NA,0,0,0,6,5,7,6,7,6,5,6,7,6,7,6,7,8,7,5
851681,6,6,6,6,1,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
851687,6,6,6,6,1,NA,0,0,7,7,7,7,6,6,7,7,7,7,7,6,7,6,7,NA
851712,4,4,5,5,1,0,0,0,7,6,0,1,6,4,6,4,7,4,7,4,7,6,NA,3
851724,6,6,6,7,4,NA,0,1,7,5,6,6,6,6,6,6,7,7,6,6,7,7,NA,NA
